# Average of 1 scan from 20260521_RuO2_Ref_dir
# energy_eV	mu
22162.1885	0.1376973841
22163.139	0.1347177777
22164.0895	0.1326991513
22165.04	0.1319760224
22165.9905	0.1313484084
22166.941	0.1335065351
22167.8915	0.1348589627
22168.842	0.1308156167
22169.7925	0.1305604236
22170.743	0.133283044
22171.6935	0.1304365551
22172.644	0.1343026432
22173.5945	0.1346614453
22174.545	0.1298289943
22175.4955	0.1345978703
22176.446	0.1332491118
22177.3965	0.1336949712
22178.347	0.135858521
22179.2975	0.138742499
22180.248	0.1394139135
22181.1985	0.1371082337
22182.149	0.1371228883
22183.0995	0.1372785847
22184.05	0.1350092273
22185.0005	0.1366575076
22185.951	0.1325824943
22186.9015	0.1397016836
22187.852	0.1419177788
22188.8025	0.1386787234
22189.753	0.1372570624
22190.7035	0.1417751097
22191.654	0.1457621608
22192.6045	0.1442746904
22193.555	0.1472441732
22194.5055	0.1456385556
22195.456	0.1470151311
22196.4065	0.1455257732
22197.357	0.1442280943
22198.3075	0.1474080609
22199.258	0.149336164
22200.2085	0.1470290515
22201.159	0.1487175004
22202.1095	0.1549426871
22203.06	0.1549220308
22204.0105	0.1542015262
22204.961	0.1534810216
22205.9115	0.1527605171
22206.862	0.1520400125
22207.8125	0.1528816736
22208.763	0.1541690643
22209.7135	0.155456455
22210.664	0.1567438456
22211.6145	0.1575657079
22212.565	0.1580895355
22213.5155	0.1586133631
22214.466	0.1591371908
22215.4165	0.1584360248
22216.367	0.1555701685
22217.3175	0.1527043121
22218.268	0.1498384558
22219.2185	0.1475832569
22220.169	0.147987428
22221.1195	0.148391599
22222.07	0.14879577
22223.0205	0.1491999411
22223.971	0.1486100165
22224.9215	0.147867479
22225.872	0.1471249415
22226.8225	0.146382404
22227.773	0.146323426
22228.7235	0.1465728326
22229.674	0.1468222392
22230.6245	0.1470716457
22231.575	0.1473094798
22232.5255	0.1475324448
22233.476	0.1477554098
22234.4265	0.1479783748
22235.377	0.1461264141
22236.3275	0.1459570872
22237.278	0.1459088432
22238.2285	0.14660507
22239.179	0.1444193924
22240.1295	0.1453141683
22241.08	0.1399763275
22242.0305	0.1437802961
22242.981	0.1410519407
22243.9315	0.1386911527
22244.882	0.1392576419
22245.8325	0.1430830972
22246.783	0.1416999034
22247.7335	0.1392129992
22248.684	0.1388543605
22249.6345	0.1401354865
22250.585	0.1365115373
22251.5355	0.1337106168
22252.486	0.1348966248
22253.4365	0.1360826328
22254.387	0.1372686408
22255.3375	0.1383173523
22256.288	0.1387639818
22257.2385	0.1392106112
22258.189	0.1396572406
22259.1395	0.14010387
22260.09	0.1399356559
22261.0405	0.1397651694
22261.991	0.1395946829
22262.9415	0.1394241964
22263.892	0.1391971177
22264.8425	0.1389493456
22265.793	0.1387015734
22266.7435	0.1384538013
22267.694	0.1388955624
22268.6445	0.1401239194
22269.595	0.1413522764
22270.5455	0.1425806334
22271.496	0.1438301244
22272.4465	0.1451197248
22273.397	0.1464093251
22274.3475	0.1476989255
22275.298	0.1489885258
22276.2485	0.147642983
22277.199	0.1461040079
22278.1495	0.1445650328
22279.1	0.1430260576
22280.0505	0.1421098577
22281.001	0.1413431562
22281.9515	0.1405764547
22282.902	0.1398097533
22283.8525	0.1392277407
22284.803	0.138806264
22285.7535	0.1383847873
22286.704	0.1379633106
22287.6545	0.1381135371
22288.605	0.1398787965
22289.5555	0.1416440559
22290.506	0.1434093153
22291.4565	0.1450351913
22292.407	0.1444556014
22293.3575	0.1438760116
