# E0 = 22132.72 eV, edge_step = 0.129187
# energy_eV	mu	mu_norm	mu_flat	pre_edge	post_edge
22071.891	0.01298333412	0.006576788814	0.006576788814	0.01213369767	0.1441747065
22072.8415	0.01360666995	0.01107597001	0.01107597001	0.01217579721	0.1441761795
22073.792	0.01423000579	0.0155751512	0.0155751512	0.01221789675	0.1441775267
22074.7425	0.01395940254	0.01315460976	0.01315460976	0.0122599963	0.144178748
22075.693	0.01345955383	0.008959545915	0.008959545915	0.01230209584	0.1441798434
22076.6435	0.01342945408	0.008400672171	0.008400672171	0.01234419538	0.1441808129
22077.594	0.01356882711	0.009153637947	0.009153637947	0.01238629492	0.1441816565
22078.5445	0.01318312467	0.005842147184	0.005842147184	0.01242839447	0.1441823743
22079.495	0.01245225494	-0.0001411833637	-0.0001411833637	0.01247049401	0.1441829661
22080.4455	0.01234853169	-0.001269955195	-0.001269955195	0.01251259355	0.1441834321
22081.396	0.01277402032	0.00169774832	0.00169774832	0.01255469309	0.1441837722
22082.3465	0.01302811754	0.003338760738	0.003338760738	0.01259679264	0.1441839864
22083.297	0.01303535833	0.00306892924	0.00306892924	0.01263889218	0.1441840747
22084.2475	0.01319056371	0.003944448685	0.003944448685	0.01268099172	0.1441840371
22085.198	0.01373154397	0.007806139276	0.007806139276	0.01272309126	0.1441838737
22086.1485	0.01415710004	0.01077436486	0.01077436486	0.0127651908	0.1441835843
22087.099	0.01389433905	0.008414528025	0.008414528025	0.01280729035	0.1441831691
22088.0495	0.01362987728	0.00604152604	0.00604152604	0.01284938989	0.144182628
22089	0.01319694995	0.002364481062	0.002364481062	0.01289148943	0.144181961
22089.9505	0.01276402261	-0.001312563917	-0.001312563917	0.01293358897	0.1441811681
22090.901	0.01320851812	0.001802266296	0.001802266296	0.01297568852	0.1441802493
22091.8515	0.01377798311	0.005884448926	0.005884448926	0.01301778806	0.1441792046
22092.802	0.01316643975	0.0008247892187	0.0008247892187	0.0130598876	0.1441780341
22093.7525	0.01228182646	-0.006348625485	-0.006348625485	0.01310198714	0.1441767376
22094.703	0.01255286993	-0.004576437063	-0.004576437063	0.01314408669	0.1441753153
22095.6535	0.01337392707	0.001453247258	0.001453247258	0.01318618623	0.1441737671
22096.604	0.01337778114	0.001157200195	0.001157200195	0.01322828577	0.144172093
22097.5545	0.01269058291	-0.004488081853	-0.004488081853	0.01327038531	0.144170293
22098.505	0.0122995407	-0.007840906307	-0.007840906307	0.01331248485	0.1441683671
22099.4555	0.01249477597	-0.006655527091	-0.006655527091	0.0133545844	0.1441663153
22100.406	0.01248739614	-0.007038532574	-0.007038532574	0.01339668394	0.1441641377
22101.3565	0.01209006014	-0.01044007538	-0.01044007538	0.01343878348	0.1441618342
22102.307	0.01207738064	-0.01086410404	-0.01086410404	0.01348088302	0.1441594047
22103.2575	0.01323645367	-0.002217936931	-0.002217936931	0.01352298257	0.1441568494
22104.208	0.01248502009	-0.008360446148	-0.008360446148	0.01356508211	0.1441541682
22105.1585	0.01240998601	-0.009267143509	-0.009267143509	0.01360718165	0.1441513612
22106.109	0.01242036765	-0.009512662514	-0.009512662514	0.01364928119	0.1441484282
22107.0595	0.01288340106	-0.006254335789	-0.006254335789	0.01369138074	0.1441453693
22108.01	0.01395422032	0.001708684545	0.001708684545	0.01373348028	0.1441421846
22108.9605	0.01326975699	-0.003915427503	-0.003915427503	0.01377557982	0.144138874
22109.911	0.0134101817	-0.003154320973	-0.003154320973	0.01381767936	0.1441354375
22110.8615	0.01351705734	-0.002652908016	-0.002652908016	0.0138597789	0.1441318751
22111.812	0.01333021798	-0.004425057541	-0.004425057541	0.01390187845	0.1441281868
22112.7625	0.01329117196	-0.005053181715	-0.005053181715	0.01394397799	0.1441243726
22113.713	0.0148223209	0.006473116875	0.006473116875	0.01398607753	0.1441204325
22114.6635	0.01317230541	-0.006625053811	-0.006625053811	0.01402817707	0.1441163666
22115.614	0.01501486325	0.007311770592	0.007311770592	0.01407027662	0.1441121748
22116.5645	0.01699974178	0.02235025808	0.02235025808	0.01411237616	0.144107857
22117.515	0.01798140262	0.02962312899	0.02962312899	0.0141544757	0.1441034134
22118.4655	0.0200560016	0.04535611636	0.04535611636	0.01419657524	0.1440988439
